Daniel,Becker,M,DanielBecker@westmont.edu,5.29,4153
Kevin,Stone,F,KevinStone@westmont.edu,8.02,1046
Michael,Wallace,M,MichaelWallace@westmont.edu,5.50,2603
Steve,Cabrera,F,SteveCabrera@westmont.edu,2.64,4344
Ricardo,Hansen,M,RicardoHansen@westmont.edu,0.90,1011
David,Russell,F,DavidRussell@westmont.edu,7.60,2617
Daniel,Compton,F,DanielCompton@westmont.edu,6.56,2680
Andrew,Sanchez,M,AndrewSanchez@westmont.edu,5.78,1801
Madison,Aguilar,M,MadisonAguilar@westmont.edu,0.91,1932
James,Kent,M,JamesKent@westmont.edu,2.08,904
Melissa,Bennett,M,MelissaBennett@westmont.edu,5.58,3261
Gregory,Taylor,M,GregoryTaylor@westmont.edu,1.73,4102
Brandon,Cobb,F,BrandonCobb@westmont.edu,3.13,4178
Shannon,Bartlett,M,ShannonBartlett@westmont.edu,7.74,4139
Daniel,Barton,M,DanielBarton@westmont.edu,4.08,2950
Jason,Dixon,F,JasonDixon@westmont.edu,3.10,4106
Dana,Stephens,M,DanaStephens@westmont.edu,2.68,3016
Lauren,Wyatt,F,LaurenWyatt@westmont.edu,7.84,2998
Jesse,Steele,M,JesseSteele@westmont.edu,2.14,2869
Carmen,Johnson,F,CarmenJohnson@westmont.edu,6.27,820
Peter,Powell,M,PeterPowell@westmont.edu,4.06,3309
Carol,Harris,M,CarolHarris@westmont.edu,6.84,3244
Hannah,West,F,HannahWest@westmont.edu,5.93,903
Benjamin,Ruiz,F,BenjaminRuiz@westmont.edu,4.01,2743
Joshua,Jackson,F,JoshuaJackson@westmont.edu,5.11,2322
Walter,Cain,F,WalterCain@westmont.edu,3.38,1951
Ana,Armstrong,M,AnaArmstrong@westmont.edu,4.75,4714
Stephanie,Alvarado,M,StephanieAlvarado@westmont.edu,5.58,1450
Jo,Nelson,M,JoNelson@westmont.edu,6.35,2617
Richard,Boyd,M,RichardBoyd@westmont.edu,3.26,1716
Erica,Smith,F,EricaSmith@westmont.edu,7.59,3210
Alexandria,Lewis,M,AlexandriaLewis@westmont.edu,5.10,3944
Lauren,Butler,M,LaurenButler@westmont.edu,9.45,458
Charles,Fuller,F,CharlesFuller@westmont.edu,4.28,430
Melissa,Gomez,M,MelissaGomez@westmont.edu,3.30,3214
Bobby,Garrison,M,BobbyGarrison@westmont.edu,9.76,3613
Ashley,Oliver,F,AshleyOliver@westmont.edu,6.76,919
Shannon,Gamble,M,ShannonGamble@westmont.edu,5.15,2259
Kimberly,Smith,F,KimberlySmith@westmont.edu,8.00,1701
Sheila,Haynes,F,SheilaHaynes@westmont.edu,9.61,3094
Mark,Villegas,M,MarkVillegas@westmont.edu,4.07,4273
Daniel,Campbell,F,DanielCampbell@westmont.edu,3.05,878
Stacey,Curtis,F,StaceyCurtis@westmont.edu,1.72,4307
Travis,Edwards,M,TravisEdwards@westmont.edu,3.65,3429
Philip,Hanna,M,PhilipHanna@westmont.edu,7.25,3491
Natalie,Garcia,M,NatalieGarcia@westmont.edu,7.74,2995
Gary,Bell,M,GaryBell@westmont.edu,1.94,2038
Christopher,Flores,M,ChristopherFlores@westmont.edu,2.12,4957
Jerry,Jimenez,M,JerryJimenez@westmont.edu,8.96,753
Karen,Park,M,KarenPark@westmont.edu,3.18,1854
Emma,Sherman,M,EmmaSherman@westmont.edu,3.77,4192
Thomas,Carter,F,ThomasCarter@westmont.edu,3.54,3396
Shannon,Orr,M,ShannonOrr@westmont.edu,6.41,3630
Chad,Foley,F,ChadFoley@westmont.edu,7.56,4118
Holly,Guerra,M,HollyGuerra@westmont.edu,9.36,435
Nicole,Johnson,M,NicoleJohnson@westmont.edu,4.32,2447
Jeffery,Collins,M,JefferyCollins@westmont.edu,0.58,2410
Judith,Fry,M,JudithFry@westmont.edu,4.17,638
Samuel,Zimmerman,F,SamuelZimmerman@westmont.edu,9.40,2629
Randall,Jefferson,F,RandallJefferson@westmont.edu,7.18,452
Jim,Sanchez,F,JimSanchez@westmont.edu,8.51,4277
Patrick,Daugherty,F,PatrickDaugherty@westmont.edu,8.63,299
Joshua,Giles,F,JoshuaGiles@westmont.edu,0.48,2408
Steven,Anderson,M,StevenAnderson@westmont.edu,1.43,2344
Neil,Craig,F,NeilCraig@westmont.edu,5.51,2700
Ricky,Cook,F,RickyCook@westmont.edu,0.22,1940
Jill,Reynolds,F,JillReynolds@westmont.edu,3.71,3270
Andrew,Cox,F,AndrewCox@westmont.edu,1.99,2152
Savannah,Todd,M,SavannahTodd@westmont.edu,0.57,1692
Jennifer,Olson,F,JenniferOlson@westmont.edu,1.08,1084
Leslie,Burton,F,LeslieBurton@westmont.edu,6.11,770
Christopher,Hutchinson,M,ChristopherHutchinson@westmont.edu,8.26,743
Derek,Cooper,F,DerekCooper@westmont.edu,3.91,754
Christine,Price,F,ChristinePrice@westmont.edu,0.38,4381
Gregory,Alvarez,M,GregoryAlvarez@westmont.edu,7.23,2165
Angela,Barnes,M,AngelaBarnes@westmont.edu,8.04,3509
Jacob,Griffin,M,JacobGriffin@westmont.edu,7.24,2155
Jacob,Bennett,M,JacobBennett@westmont.edu,2.47,3830
Isaiah,Webb,M,IsaiahWebb@westmont.edu,3.64,402
Jacqueline,Parrish,M,JacquelineParrish@westmont.edu,2.89,3495
Candice,Shannon,M,CandiceShannon@westmont.edu,1.55,1649
Rebecca,Johnson,M,RebeccaJohnson@westmont.edu,4.25,3182
Mary,Sellers,F,MarySellers@westmont.edu,7.46,1344
Shane,Berg,F,ShaneBerg@westmont.edu,4.33,2033
Danny,Moody,F,DannyMoody@westmont.edu,9.66,63
Donna,Owen,F,DonnaOwen@westmont.edu,0.89,4077
Loretta,Hernandez,M,LorettaHernandez@westmont.edu,4.10,1643
Dustin,Butler,M,DustinButler@westmont.edu,5.42,2438
Caitlyn,Wright,F,CaitlynWright@westmont.edu,6.82,3873
Kevin,Garrett,F,KevinGarrett@westmont.edu,8.72,1328
Jasmine,Burgess,M,JasmineBurgess@westmont.edu,4.34,2122
Regina,Collins,F,ReginaCollins@westmont.edu,4.18,309
Jordan,Willis,F,JordanWillis@westmont.edu,3.36,4266
Brenda,Diaz,M,BrendaDiaz@westmont.edu,1.67,1942
Brooke,Sherman,F,BrookeSherman@westmont.edu,8.50,1527
John,Waters,M,JohnWaters@westmont.edu,1.86,501
Veronica,Ward,M,VeronicaWard@westmont.edu,8.46,3516
Teresa,Hernandez,M,TeresaHernandez@westmont.edu,1.98,4967
Lisa,Herman,F,LisaHerman@westmont.edu,5.25,783
Rebecca,Hernandez,F,RebeccaHernandez@westmont.edu,8.84,1214
James,Farmer,M,JamesFarmer@westmont.edu,5.38,2558
Billy,Brown,F,BillyBrown@westmont.edu,1.36,1075
Anthony,Serrano,M,AnthonySerrano@westmont.edu,6.21,2860
David,Neal,F,DavidNeal@westmont.edu,6.44,1165
Travis,Hopkins,M,TravisHopkins@westmont.edu,1.47,2976
Ryan,Murphy,F,RyanMurphy@westmont.edu,1.60,4627
Jerry,Dyer,M,JerryDyer@westmont.edu,2.22,3650
Andrew,Robinson,F,AndrewRobinson@westmont.edu,5.30,3455
Diana,Holt,F,DianaHolt@westmont.edu,6.37,2832
Jocelyn,Logan,M,JocelynLogan@westmont.edu,1.21,2029
Patricia,Mitchell,F,PatriciaMitchell@westmont.edu,3.67,4382
Matthew,Preston,M,MatthewPreston@westmont.edu,6.06,2888
Shane,Figueroa,F,ShaneFigueroa@westmont.edu,6.75,1336
Felicia,Griffin,M,FeliciaGriffin@westmont.edu,8.29,3747
Michael,Curtis,F,MichaelCurtis@westmont.edu,2.12,4423
Amy,Black,M,AmyBlack@westmont.edu,3.61,4064
Nancy,Grant,F,NancyGrant@westmont.edu,2.51,4447
Zoe,Lewis,F,ZoeLewis@westmont.edu,0.65,3727
Jason,West,F,JasonWest@westmont.edu,1.04,3338
Eddie,Carter,F,EddieCarter@westmont.edu,9.94,1043
Ryan,Wade,F,RyanWade@westmont.edu,2.47,3592
Daniel,Oconnell,F,DanielOconnell@westmont.edu,9.26,4955
Calvin,Paul,F,CalvinPaul@westmont.edu,3.70,18
Benjamin,Bonilla,M,BenjaminBonilla@westmont.edu,3.34,1629
Steven,Mendoza,F,StevenMendoza@westmont.edu,6.78,326
Tamara,Lewis,F,TamaraLewis@westmont.edu,1.50,3910
Gabriel,Tucker,M,GabrielTucker@westmont.edu,1.64,318
Kyle,Larson,M,KyleLarson@westmont.edu,5.66,1827
Melissa,Howard,M,MelissaHoward@westmont.edu,3.19,1211
Christopher,Friedman,F,ChristopherFriedman@westmont.edu,5.42,2845
Krystal,Carter,M,KrystalCarter@westmont.edu,9.36,3685
Paul,Schroeder,M,PaulSchroeder@westmont.edu,7.07,1057
John,Adkins,F,JohnAdkins@westmont.edu,6.65,4758
Regina,King,F,ReginaKing@westmont.edu,2.27,306
Patricia,Lawrence,F,PatriciaLawrence@westmont.edu,1.54,467
Holly,Contreras,M,HollyContreras@westmont.edu,2.38,3417
Veronica,Meyer,M,VeronicaMeyer@westmont.edu,7.35,1647
Keith,Hanna,M,KeithHanna@westmont.edu,2.41,3523
